20.52374, 150.9291, 147.9256, 147.1224, 148.1614, 126.9136, 4.82028, 10.01814, 9.659317, 27.74799, 144.7391, 144.0477, 142.5476, 145.5662, 126.8202, 2.935183, 7.997994, 10.88634, 0
18.89841, 151.5653, 148.27, 147.3165, 148.4601, 128.5513, 5.605739, 10.00211, 9.931373, 26.49046, 145.004, 144.2317, 142.6206, 145.4756, 127.8169, 3.290333, 8.099751, 10.94001, 0
17.752, 150.9601, 147.5911, 146.9281, 148.0871, 128.8612, 5.380555, 9.916651, 9.7884, 27.25957, 143.9521, 143.3908, 141.9725, 144.8611, 127.1447, 3.059407, 8.098709, 10.89891, 0
18.40804, 150.1672, 147.6414, 146.9841, 148.2735, 127.364, 4.399661, 10.03713, 9.349373, 28.68241, 143.5859, 143.6933, 142.3504, 145.5624, 126.1077, 2.886494, 8.063337, 10.96397, 0
21.37954, 150.157, 146.691, 146.3671, 148.0767, 126.9394, 4.588981, 10.0171, 9.554914, 26.63198, 143.5529, 143.2183, 141.9171, 144.7841, 126.3177, 3.176443, 8.107916, 10.82507, 0
21.98516, 149.9223, 146.1957, 146.1573, 147.2695, 127.055, 5.20797, 10.08693, 9.773101, 27.15748, 144.021, 143.4867, 142.0675, 144.6191, 126.5046, 3.253053, 8.222969, 10.83035, 0
22.09571, 150.6383, 146.4903, 146.0759, 147.0253, 127.8636, 5.218005, 9.767204, 9.515476, 23.60474, 145.2868, 145.0153, 143.5131, 146.3126, 128.9183, 2.997285, 8.156827, 10.59257, 0
24.52483, 149.7527, 145.8121, 145.489, 146.1783, 126.6641, 5.138316, 9.880255, 9.812574, 22.79912, 145.7378, 145.8227, 144.4333, 147.1514, 128.6458, 2.990943, 7.952829, 10.66463, 0
22.18342, 150.5803, 146.4225, 145.661, 146.5888, 128.8583, 5.447983, 9.927274, 10.0128, 20.06192, 143.6965, 143.4926, 142.6456, 145.5237, 129.4661, 3.111309, 8.156129, 10.64865, 0
20.06802, 152.9925, 148.9545, 147.5221, 148.899, 129.3876, 5.710073, 9.994794, 9.136628, 20.59101, 144.4828, 144.1469, 143.2117, 146.333, 129.4117, 2.916449, 7.972304, 10.83794, 0
19.90369, 153.7607, 149.6021, 147.983, 149.2584, 129.7436, 6.015096, 9.881469, 9.233929, 20.80238, 144.8895, 144.2191, 143.2813, 146.2747, 129.9246, 3.158643, 7.945642, 10.6296, 0
20.7809, 152.6591, 148.5851, 147.3673, 148.6136, 129.5017, 6.377689, 9.99745, 9.44423, 22.32501, 143.6865, 143.386, 142.3039, 145.3912, 128.5143, 3.157837, 7.973732, 10.92598, 0
22.30383, 151.8619, 147.9796, 146.9693, 148.2345, 128.7056, 6.147108, 10.02189, 9.455629, 21.6772, 144.3959, 144.1922, 143.0193, 146.1458, 128.7148, 3.151197, 7.967649, 10.97967, 0
19.10422, 151.0313, 146.8951, 146.1592, 147.5174, 129.7639, 5.607347, 9.880773, 10.00769, 21.49321, 144.6728, 144.3763, 143.2403, 146.3414, 129.135, 3.066501, 7.988072, 10.89699, 0
19.62027, 151.4759, 147.4961, 146.5367, 147.851, 129.4222, 5.615868, 9.940062, 9.933195, 21.67334, 144.758, 144.6322, 143.6151, 146.7822, 128.5047, 3.170336, 7.947347, 10.94627, 0
19.19669, 151.2416, 146.899, 146.0093, 147.3224, 129.6548, 5.809169, 9.859036, 9.872768, 24.49375, 145.0908, 144.875, 143.59, 147.0789, 126.7784, 3.072942, 8.027835, 11.10826, 0
